Date,Sales
2023-01-01,774406751.9636624
2023-01-02,857594683.1862097
2023-01-03,801381688.0358219
2023-01-04,772441591.4984484
2023-01-05,711827399.6694523
2023-01-06,822947056.533328
2023-01-07,718793605.6313462
2023-01-08,945886500.3910398
2023-01-09,981831380.2505146
2023-01-10,691720759.4128889
2023-01-11,895862519.0413322
2023-01-12,764447459.8764522
2023-01-13,784022280.5469661
2023-01-14,962798319.1463306
2023-01-15,535518029.0989435
2023-01-16,543564649.8507704
2023-01-17,510109198.72016287
2023-01-18,916309922.7739689
2023-01-19,889078375.4749253
2023-01-20,935006074.1234095
2023-01-21,989309171.116382
2023-01-22,899579282.1083617
2023-01-23,730739681.1264659
2023-01-24,890264588.1432278
2023-01-25,559137212.9344666
2023-01-26,819960510.6637619
2023-01-27,571676643.7045232
2023-01-28,972334458.524792
2023-01-29,760924160.8750359
2023-01-30,707330969.9952618
2023-01-31,632277806.0523134
2023-02-01,887116844.7171082
2023-02-02,728075166.1082742
2023-02-03,784216974.4343243
2023-02-04,509394900.21817756
2023-02-05,808817748.5379386
2023-02-06,806047861.3612107
2023-02-07,808466998.4373784
2023-02-08,971874039.257312
2023-02-09,840910149.5517417
2023-02-10,679753950.286893
2023-02-11,718515976.8996707
2023-02-12,848815597.9636323
2023-02-13,530112735.8146349
2023-02-14,833383357.7228339
2023-02-15,835318934.8090796
2023-02-16,605191280.5369204
2023-02-17,564463148.8274267
2023-02-18,657714175.4620919
2023-02-19,681855385.4713113
2023-02-20,785098385.2089398
2023-02-21,719300756.7311602
2023-02-22,994186919.029613
2023-02-23,551022405.374014
2023-02-24,604438378.0474174
2023-02-25,580654758.9424981
2023-02-26,826554162.7326992
2023-02-27,626645801.269891
2023-02-28,733155386.4281532
2023-03-01,622212796.0008013
2023-03-02,579484791.8227599
2023-03-03,555187570.5821526
2023-03-04,828164794.7326367
2023-03-05,569091475.6743069
2023-03-06,598291180.8400267
2023-03-07,684362585.330482
2023-03-08,910496614.9239676
2023-03-09,548550637.8965306
2023-03-10,918972453.7494019
2023-03-11,548049203.9469815
2023-03-12,988229732.5066979
2023-03-13,734325600.8238508
2023-03-14,988380544.0951686
2023-03-15,802422759.8725231
2023-03-16,869631789.6991508
2023-03-17,519593896.1271603
2023-03-18,641403481.2882048
2023-03-19,560098280.6065844
2023-03-20,648070098.7610724
2023-03-21,559363859.4771221
2023-03-22,658991589.696988
2023-03-23,707131497.257335
2023-03-24,532073748.17439216
2023-03-25,846236059.68501
2023-03-26,783300727.1032876
2023-03-27,632694745.4697227
2023-03-28,761624026.7333498
2023-03-29,546970255.3792208
2023-03-30,787973247.7780896
2023-03-31,964648098.788107
2023-04-01,659284476.2256619
2023-04-02,833705189.9818408
2023-04-03,565898931.2021961
2023-04-04,858163602.0592828
2023-04-05,644703046.4736005
2023-04-06,591595681.0035584
2023-04-07,793256467.4050416
2023-04-08,510053773.0937468
2023-04-09,914470014.6086816
2023-04-10,502347738.09627354
2023-04-11,838908268.398115
2023-04-12,635003986.5960824
2023-04-13,867597011.0612974
2023-04-14,981094272.5587192
2023-04-15,624376571.759979
2023-04-16,788078667.2089185
2023-04-17,796020965.6359196
2023-04-18,786125952.8954368
2023-04-19,611540816.3203092
2023-04-20,976374505.7584925
